"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"291","bpns","bpns-Trapegeer",51.1403333333,2.573
"292","bpns","bpns-vandamme",51.329852,3.2177857
"293","bpns","bpns-VG2",51.4325,2.802
"294","bpns","bpns-visart",51.233818,3.220045
"295","bpns","bpns-visartboudewijn",51.324999,3.199202
"296","bpns","bpns-vvw",51.14101,2.744052
"297","bpns","bpns-W1",51.391333,3.303666667
"298","bpns","bpns-WENDUINEBANKW",51.287167,2.879166667
"299","bpns","bpns-Whitley",51.1511666667,2.6603333333
"300","bpns","bpns-WK12",51.461167,3.107
"301","bpns","bpns-WK14",51.3685,3.262
"302","bpns","bpns-WKSabrina",51.221667,2.518683
"303","bpns","bpns-WZ",51.376167,3.178666667
"304","bpns","bpns-ZA2",51.3513,3.19883
"305","bpns","bpns-ZAND4",51.359,3.20318
"306","bpns","bpns-zbe1",51.364298,3.200701
"307","bpns","bpns-zbe2",51.363162,3.211188
"308","bpns","bpns-zbe3",51.362374,3.220989
"309","bpns","bpns-zbw1",51.362906,3.183634
"310","bpns","bpns-zbw2",51.359012,3.177194
"311","bpns","bpns-zbw3",51.355063,3.169958
"312","bpns","bpns-ZOKN",51.357167,3.1905
"313","bpns","bpns-ZW1",51.35718,3.19037
"314","DAK","Markiezaat-1",51.40197,4.235801
"315","DAK","Markiezaat-2",51.438485,4.234839
"316","DAK","Markiezaat-3",51.45897,4.229676
"317","DAK","Markiezaat-4",51.462835,4.225819
"318","DAK","Markiezaat-5",51.483798,4.228604
"319","DAK","Markiezaat-6",51.513097,4.218352
"320","DAK","Markiezaat-7",51.509707,4.176225
"321","DAK","Markiezaat-8",51.511428,4.170344
"322","DAK","Suderpolder-1",53.165585,5.552393
"323","DAK","Suderpolder-2",53.165045,5.552381
"324","DAK","Suderpolder-3",53.158511,5.508834
"325","DAK","Suderpolder-4",53.158767,5.508119
"326","DAK","Suderpolder-5",53.178774,5.539683
"327","DAK","Suderpolder-6",53.179885,5.425022
"328","DAK","Suderpolder-7",53.175467,5.409132
"329","demer","de-1",50.9851617,4.8410025
"330","demer","de-2",50.9942609,4.8938203
"331","demer","de-3",51.0028729,4.9333539
"332","demer","de-4",51.0089239,4.9623949
"333","demer","de-5",51.0026609,4.9914479
"334","demer","de-6",50.9898768,5.0152068
"335","demer","de-7",50.9909004,5.0310774
"336","demer","de-8",50.991246,5.0403814
"337","demer","de-9",50.9912632,5.049155
"338","demer","de-10",50.9916225,5.0542423
"339","demer","de-11",50.9922283,5.0549485
"340","demer","de-12",50.9911178,5.0574492
"341","demer","de-13",50.9918161,5.0578433
"342","demer","de-14",50.9902591,5.0602737
"343","demer","de-14a",50.99004,5.060056
"344","demer","de-15",50.9892822,5.0604112
"345","demer","de-16",50.9901667,5.0616675
"346","demer","de-18",50.9876189,5.0742895
"347","demer","de-19",50.9849358,5.075274
"348","demer","de-20",50.9847044,5.0765513
"349","demer","de-21",50.9843681,5.0725863
"350","demer","de-22",50.9833902,5.0759855
"351","demer","de-23",50.98197,5.0780232
"352","dijle","M-1",51.01136918,4.520968635
"353","dijle","M-2",51.02082596,4.498485779
"354","dijle","M-3",51.0229057,4.497271313
"355","dijle","M-4",51.02483717,4.495207458
"356","dijle","M-4A",51.025057,4.495476
"357","dijle","M-5",51.0340958,4.471940005
"358","dijle","M-6",51.05546566,4.442865645
"359","dijle","M-7",51.0746085,4.39848069
"360","dijle","me-7-2",51.082219,4.366229
"361","dijle","me-7-2b",51.1008,4.330483
"362","dijle","Test Rotselaar",50.947345,4.702879
"363","EMMN","1",70.19394,22.96674
"364","EMMN","2",70.19556,22.97734
"365","EMMN","3",70.195333,22.987167
"366","EMMN","4",70.19777,22.99764
"367","EMMN","5",70.1975,23.009167
"368","EMMN","6",70.20001,23.01968
"369","EMMN","7",70.199667,23.028833
"370","EMMN","8",70.201,23.038667
"371","EMMN","9",70.201667,23.049667
"372","EMMN","10",70.202833,23.060167
"373","EMMN","11",70.203667,23.070167
"374","EMMN","12",70.204833,23.080333
"375","EMMN","13",70.205667,23.090167
"376","EMMN","14",70.206667,23.100167
"377","EMMN","15",70.207667,23.110333
"378","EMMN","16",70.2089,23.12035
"379","EMMN","17",70.209833,23.131167
"380","EMMN","18",70.210833,23.140667
"381","EMMN","19",70.2119,23.15241
"382","EMMN","20",70.213167,23.161
"383","EMMN","21",70.215,23.173167
"384","EMMN","22",70.0848,22.99217
"385","EMMN","23",70.0849,23.0015
"386","EMMN","24",70.085167,23.010833
"387","EMMN","25",70.085,23.021833
"388","EMMN","26",70.085,23.0425
"389","EMMN","27",70.0845,23.032167
"390","EMMN","28",70.085,23.0525
"391","EMMN","29",70.084833,23.0635
"392","EMMN","30",70.084333,23.071167
"393","EMMN","31",70.084833,23.084667
"394","EMMN","32",70.08453,23.09205
"395","EMMN","33",70.08465,23.10295
"396","EMMN","34",70.08455,23.11384
"397","EMMN","35",70.085333,23.126467
"398","EMMN","36",69.993667,23.300167
"399","EMMN","37",69.997,23.304833
"400","EMMN","38",70.000167,23.310167
"401","EMMN","39",70.003333,23.315
"402","EMMN","40",70.006333,23.319167
"403","EMMN","41",70.009667,23.324833
"404","EMMN","42",70.012667,23.3305
"405","EMMN","43",70.0165,23.337333
"406","EMMN","44",70.019167,23.339667
"407","EMMN","45",70.021667,23.343333
"408","EMMN","59",69.972376,23.398833
"409","EMMN","100",69.972941,23.406372
"410","ESGL","A",47.288033,-1.9939
"411","ESGL","AM1",47.1324,-1.69796
"412","ESGL","AM2",47.1319,-1.69705
"413","ESGL","AM3",47.1323,-1.69441
"414","ESGL","AV1",47.1336,-1.70623
"415","ESGL","AV2",47.133,-1.70816
"416","ESGL","AV3",47.1319,-1.7121
"417","ESGL","B1",47.21,-1.82689
"418","ESGL","B2",47.2074,-1.82838
"419","ESGL","BB",47.214025,-1.82403
"420","ESGL","BOX0",47.0924,-1.65511
"421","ESGL","C",47.293933,-2.016633
"422","ESGL","C1",47.1237,-1.67011
"423","ESGL","C2",47.1246,-1.67109
"424","ESGL","C3",47.126098,-1.679072
"425","ESGL","C4",47.12882688,-1.68036023
"426","ESGL","C5",47.1301,-1.68204
"427","ESGL","C6",47.1301,-1.682038
"428","ESGL","C7",47.1224,-1.68732
"429","ESGL","C8",47.1198,-1.68606
"430","ESGL","C9",47.1302,-1.69086
"431","ESGL","C10",47.126,-1.69522
"432","ESGL","C11",47.1278,-1.69436
"433","ESGL","C12",47.1307,-1.69285
"434","ESGL","C13",47.1237,-1.69873
"435","ESGL","C14",47.1247,-1.69815
"436","ESGL","C15",47.1306,-1.69511
"437","ESGL","CA",47.267842,-1.94744
"438","ESGL","CN",47.237895,-1.870765
"439","ESGL","D",47.1768,-2.1668
"440","ESGL","EBB1",47.2151,-1.82219
"441","ESGL","EBB2",47.215933,-1.821258
"442","ESGL","Ebis",47.29574,-2.0458
"443","ESGL","ECA",47.26858029,-1.94856907
"444","ESGL","EMA",47.2084,-1.78287
"445","ESGL","I",47.18043,-2.3844
"446","ESGL","MA",47.2078,-1.78561
"447","leopold","bh-1",51.3412021,3.2162872
"448","leopold","bh-2",51.3306565,3.2236553
