,s-2,s-Wetteren,s-Wichelen,s-2a,s-3,s-Dendermonde,s-4b,s-4c,s-6,s-8,s-9,s-12,s-STD3,s-7,s-5,ak-41,s-Vlassenbroek,s-4a,s-9a,s-8a,s-11,s-4,s-10a,ak-45,ws-53A,ws-53,ws-42A,ws-18,ws-25B,ws-16,ws-14,ws-12A,ws-6,ws-4,ws-PVTSS,ws-DL9,ws-DL7,ws-55,ws-2C,ws-TRAWL,ws-F42,ws-HW6,ws-11,s-1,ws-OGDL,ws-OG10,ws-SP3,ws-25A,ws-25,ws-23,ws-A5,ws-PPC,ws-A3,ws-A1,ws-15A,ws-15,ws-W6,ak-47,ws-WN2,bpns-WENDUINEBANKW,bpns-Whitley,me-7-2,M-6,ws-13,ws-W7,bpns-W1,bpns-Trapegeer,du-Hamveer,bpns-WK12,ws-FZ2,bpns-S4,bpns-A1BIS,bpns-S7,bpns-O6,M-4,M-4A,M-3,M-2,M-1,M-5,s-Dendermonde2,bpns-KB2,bpns-middelkerkebank,bpns-nieuwpoortbank,ws-borssele,PC4C-C05-2,PC4C-C05-9,ws-GVWSP,bpns-Cpowerreefballs-CPOD,bpns-zbe1,bpns-ZA2,ws-F53,bpns-WK14,rel_schelde1,rel_dijle,rel_schelde2,rel_schelde3,rel_schelde4,rel_schelde5
s-2,0,6634.663263,12079.5766,16914.18815,26803.47082,32313.87417,44823.92278,47313.29377,55337.15676,65019.84757,70466.78879,92949.41093,96862.60706,57326.85374,50126.88,78714.87364,40137.87243,41486.20776,70666.72674,64919.8786,92766.61484,30824.21732,78232.14621,89652.99965,117914.799,118263.2005,118111.6351,135280.7035,136363.44,136390.8013,137242.3204,138035.2474,140648.3966,140996.7981,141645.1798,159942.2554,161190.5974,117400.792,141749.0426,159917.326,118460.0366,119191.221,142300.5815,3313.626361,158159.5653,158973.5035,160810.9652,137514.9392,138014.9061,138790.6425,139624.9709,140473.3393,140093.7071,140603.8446,140631.2059,141041.3501,160147.8247,100300.4619,160003.2793,205320.3467,226870.9389,69913.12437,77137.43083,141993.5813,159675.2191,170919.7485,233467.3514,54764.46015,186150.6919,118077.2538,188321.7474,195825.8392,179646.534,204649.1919,82996.18688,82996.18688,83337.51957,83520.34007,85575.64909,80799.48312,32313.87417,214580.0428,216174.3545,230101.239,143487.1075,216913.0022,216995.8049,160372.7409,199456.5561,179361.3127,180258.0292,118463.1873,174854.5905,60240.70183,82996.18688,33279.42664,17014.18153,43392.85795,0
s-Wetteren,6634.663263,0,5444.913334,10279.52489,20168.80756,25679.2109,38189.25951,40678.63051,48702.4935,58385.18431,63832.12553,86314.74767,90227.9438,50692.19047,43492.21674,72080.21037,33503.20917,34851.5445,64032.06347,58285.21534,86131.95158,24189.55405,71597.48295,83018.33639,111280.1357,111628.5372,111476.9719,128646.0402,129728.7768,129756.1381,130607.6571,131400.5842,134013.7333,134362.1348,135010.5165,153307.5922,154555.9341,110766.1288,135114.3793,153282.6627,111825.3734,112556.5578,135665.9182,7289.894099,151524.902,152338.8403,154176.3019,130880.276,131380.2429,132155.9792,132990.3076,133838.676,133459.0438,133969.1813,133996.5427,134406.6868,153513.1614,93665.79864,153368.616,198685.6834,220236.2756,63278.46111,70502.76757,135358.918,153040.5558,164285.0852,226832.6882,48129.79689,179516.0287,111442.5905,181687.0842,189191.1759,173011.8707,198014.5286,76361.52362,76361.52362,76702.85631,76885.67681,78940.98583,74164.81986,25679.2109,207945.3796,209539.6912,223466.5758,136852.4443,210278.3389,210361.1416,153738.0776,192821.8929,172726.6494,173623.366,111828.524,168219.9272,53606.03857,76361.52362,26644.76338,10379.51827,36758.19469,6634.663263
s-Wichelen,12079.5766,5444.913334,0,4834.611552,14723.89422,20234.29757,32744.34618,35233.71717,43257.58016,52940.27098,58387.21219,80869.83434,84783.03047,45247.27714,38047.30341,66635.29704,28058.29583,29406.63117,58587.15014,52840.302,80687.03824,18744.64072,66152.56962,77573.42305,105835.2224,106183.6239,106032.0585,123201.1269,124283.8634,124311.2247,125162.7438,125955.6708,128568.82,128917.2215,129565.6032,147862.6788,149111.0208,105321.2154,129669.466,147837.7494,106380.46,107111.6444,130221.0049,12734.80743,146079.9887,146893.9269,148731.3886,125435.3626,125935.3295,126711.0659,127545.3943,128393.7627,128014.1305,128524.268,128551.6293,128961.7735,148068.2481,88220.8853,147923.7027,193240.7701,214791.3623,57833.54777,65057.85423,129914.0047,147595.6425,158840.1719,221387.7748,42684.88356,174071.1153,105997.6772,176242.1708,183746.2626,167566.9574,192569.6153,70916.61029,70916.61029,71257.94297,71440.76347,73496.0725,68719.90653,20234.29757,202500.4662,204094.7779,218021.6624,131407.531,204833.4256,204916.2283,148293.1643,187376.9795,167281.7361,168178.4526,106383.6107,162775.0139,48161.12523,70916.61029,21199.85005,4934.604933,31313.28136,12079.5766
s-2a,16914.18815,10279.52489,4834.611552,0,9889.282673,15399.68602,27909.73463,30399.10562,38422.96861,48105.65942,53552.60064,76035.22279,79948.41891,40412.66559,33212.69185,61800.68549,23223.68428,24572.01961,53752.53859,48005.69045,75852.42669,13910.02917,61317.95806,72738.8115,101000.6108,101349.0124,101197.447,118366.5154,119449.2519,119476.6132,120328.1322,121121.0593,123734.2084,124082.61,124730.9916,143028.0673,144276.4092,100486.6039,124834.8544,143003.1378,101545.8485,102277.0329,125386.3933,17569.41899,141245.3771,142059.3154,143896.777,120600.7511,121100.718,121876.4543,122710.7827,123559.1511,123179.5189,123689.6565,123717.0178,124127.1619,143233.6365,83386.27375,143089.0912,188406.1586,209956.7508,52998.93622,60223.24268,125079.3931,142761.0309,154005.5604,216553.1633,37850.27201,169236.5038,101163.0656,171407.5593,178911.651,162732.3458,187735.0038,66081.99873,66081.99873,66423.33142,66606.15192,68661.46095,63885.29497,15399.68602,197665.8547,199260.1663,213187.0509,126572.9194,199998.814,200081.6167,143458.5528,182542.368,162447.1245,163343.8411,101548.9991,157940.4023,43326.51368,66081.99873,16365.23849,99.99338104,26478.6698,16914.18815
s-3,26803.47082,20168.80756,14723.89422,9889.282673,0,5510.403344,18020.45196,20509.82295,28533.68594,38216.37675,43663.31797,66145.94011,70059.13624,30523.38291,23323.40918,51911.40282,13334.40161,14682.73694,43863.25591,38116.40778,65963.14402,4020.746495,51428.67539,62849.52883,91111.32815,91459.72968,91308.1643,108477.2327,109559.9692,109587.3305,110438.8496,111231.7766,113844.9258,114193.3273,114841.709,133138.7846,134387.1266,90597.3212,114945.5717,133113.8552,91656.56582,92387.7502,115497.1106,27458.70166,131356.0944,132170.0327,134007.4943,110711.4684,111211.4353,111987.1717,112821.5,113669.8685,113290.2362,113800.3738,113827.7351,114237.8793,133344.3538,73496.99108,133199.8085,178516.8759,200067.4681,43109.65355,50333.96001,115190.1105,132871.7483,144116.2777,206663.8806,27960.98933,159347.2211,91273.78296,161518.2766,169022.3684,152843.0631,177845.7211,56192.71606,56192.71606,56534.04875,56716.86925,58772.17827,53996.0123,5510.403344,187776.572,189370.8837,203297.7682,116683.6367,190109.5313,190192.3341,133569.2701,172653.0853,152557.8418,153454.5584,91659.71644,148051.1197,33437.23101,56192.71606,6475.95582,9847.856908,16589.38713,26803.47082
s-Dendermonde,32313.87417,25679.2109,20234.29757,15399.68602,5510.403344,0,12510.04861,14999.4196,23023.28259,32705.97341,38152.91462,60635.53677,64548.7329,25012.97957,17813.00584,46400.99947,7823.998265,9172.333598,38352.85257,32606.00443,60452.74067,1489.656849,45918.27205,57339.12548,85600.92481,85949.32633,85797.76095,102966.8293,104049.5659,104076.9272,104928.4462,105721.3732,108334.5224,108682.9239,109331.3056,127628.3813,128876.7232,85086.91786,109435.1684,127603.4518,86146.16247,86877.34685,109986.7073,32969.105,125845.6911,126659.6294,128497.091,105201.0651,105701.032,106476.7683,107311.0967,108159.4651,107779.8329,108289.9704,108317.3318,108727.4759,127833.9505,67986.58774,127689.4051,173006.4725,194557.0647,37599.25021,44823.55667,109679.7071,127361.3449,138605.8743,201153.4773,22450.58599,153836.8178,85763.37962,156007.8733,163511.965,147332.6598,172335.3177,50682.31272,50682.31272,51023.6454,51206.46591,53261.77493,48485.60896,0,182266.1687,183860.4803,197787.3649,111173.2334,184599.128,184681.9307,128058.8667,167142.682,147047.4385,147944.1551,86149.3131,142540.7163,27926.82767,50682.31272,965.5524762,15358.26025,11078.98379,32313.87417
s-4b,44823.92278,38189.25951,32744.34618,27909.73463,18020.45196,12510.04861,0,2489.370993,10513.23398,20195.9248,25642.86601,48125.48816,52038.68429,12502.93096,5302.957226,33890.95086,4686.050347,3337.715013,25842.80396,20095.95582,47942.69206,13999.70546,33408.22344,44829.07687,73090.8762,73439.27772,73287.71234,90456.78073,91539.51725,91566.87856,92418.39761,93211.32464,95824.47381,96172.87533,96821.257,115118.3327,116366.6746,72576.86925,96925.11978,115093.4032,73636.11386,74367.29824,97476.65869,45479.15361,113335.6425,114149.5808,115987.0424,92691.01644,93190.98335,93966.71971,94801.04809,95649.41652,95269.78428,95779.92183,95807.28314,96217.42731,115323.9019,55476.53912,115179.3565,160496.4239,182047.0161,25089.20159,32313.50805,97169.65852,114851.2963,126095.8257,188643.4287,9940.537378,141326.7691,73253.33101,143497.8247,151001.9164,134822.6112,159825.2691,38172.26411,38172.26411,38513.59679,38696.41729,40751.72632,35975.56035,12510.04861,169756.1201,171350.4317,185277.3163,98663.18477,172089.0794,172171.8821,115548.8181,154632.6333,134537.3899,135434.1065,73639.26448,130030.6677,15416.77905,38172.26411,11544.49613,27868.30886,1431.064825,44823.92278
s-4c,47313.29377,40678.63051,35233.71717,30399.10562,20509.82295,14999.4196,2489.370993,0,8023.86299,17706.5538,23153.49502,45636.11716,49549.31329,10013.55997,2813.586233,31401.57987,7175.421339,5827.086006,23353.43297,17606.58483,45453.32107,16489.07645,30918.85244,42339.70588,70601.50521,70949.90673,70798.34135,87967.40973,89050.14626,89077.50757,89929.02662,90721.95364,93335.10282,93683.50434,94331.88601,112628.9617,113877.3036,70087.49826,94435.74879,112604.0322,71146.74287,71877.92725,94987.28769,47968.52461,110846.2715,111660.2098,113497.6714,90201.64545,90701.61236,91477.34871,92311.6771,93160.04552,92780.41329,93290.55084,93317.91215,93728.05632,112834.5309,52987.16813,112689.9855,158007.0529,179557.6451,22599.8306,29824.13706,94680.28753,112361.9253,123606.4547,186154.0577,7451.166385,138837.3981,70763.96001,141008.4537,148512.5454,132333.2402,157335.8981,35682.89311,35682.89311,36024.2258,36207.0463,38262.35533,33486.18935,14999.4196,167266.7491,168861.0607,182787.9453,96173.81378,169599.7084,169682.5111,113059.4471,152143.2623,132048.0189,132944.7355,71149.89349,127541.2967,12927.40806,35682.89311,14033.86713,30357.67986,3920.435818,47313.29377
s-6,55337.15676,48702.4935,43257.58016,38422.96861,28533.68594,23023.28259,10513.23398,8023.86299,0,9682.690814,15129.63203,37612.25418,41525.4503,1989.696976,5210.276756,23377.71688,15199.28433,13850.949,15329.56998,9582.72184,37429.45808,24512.93944,22894.98945,34315.84289,62577.64222,62926.04374,62774.47836,79943.54674,81026.28327,81053.64458,81905.16363,82698.09065,85311.23983,85659.64135,86308.02302,104605.0987,105853.4406,62063.63527,86411.8858,104580.1692,63122.87988,63854.06426,86963.4247,55992.3876,102822.4085,103636.3468,105473.8084,82177.78246,82677.74937,83453.48572,84287.81411,85136.18253,84756.5503,85266.68785,85294.04916,85704.19333,104810.6679,44963.30514,104666.1225,149983.1899,171533.7821,14575.96761,21800.27407,86656.42454,104338.0623,115582.5917,178130.1947,7624.255577,130813.5352,62740.09702,132984.5907,140488.6824,124309.3772,149312.0351,27659.03012,27659.03012,28000.36281,28183.18331,30238.49234,25462.32636,23023.28259,159242.8861,160837.1977,174764.0823,88149.95079,161575.8454,161658.6481,105035.5841,144119.3994,124024.1559,124920.8725,63126.0305,119517.4337,4903.545072,27659.03012,22057.73012,38381.54285,11944.29881,55337.15676
s-8,65019.84757,58385.18431,52940.27098,48105.65942,38216.37675,32705.97341,20195.9248,17706.5538,9682.690814,0,5446.941215,27929.56336,31842.75949,7692.993838,14892.96757,13695.02606,24881.97514,23533.63981,5646.879162,99.96897362,27746.76727,34195.63026,13212.29864,24633.15207,52894.9514,53243.35293,53091.78754,70260.85593,71343.59245,71370.95377,72222.47281,73015.39984,75628.54901,75976.95054,76625.3322,94922.40787,96170.74982,52380.94445,76729.19498,94897.4784,53440.18907,54171.37345,77280.73389,65675.07841,93139.71768,93953.65596,95791.11759,72495.09165,72995.05855,73770.79491,74605.12329,75453.49172,75073.85948,75583.99703,75611.35835,76021.50251,95127.9771,35280.61433,94983.43174,140300.4991,161851.0913,10286.22761,17510.53407,76973.73372,94655.3715,105899.9009,168447.5039,17306.94639,121130.8443,53057.40621,123301.8999,130805.9916,114626.6864,139629.3443,23369.29012,23369.29012,23710.62281,23893.44331,25948.75234,21172.58636,32705.97341,149560.1953,151154.5069,165081.3915,78467.25997,151893.1546,151975.9573,95352.89333,134436.7085,114341.4651,115238.1817,53443.33969,109834.7429,4779.145742,23369.29012,31740.42093,48064.23366,21626.98962,65019.84757
s-9,70466.78879,63832.12553,58387.21219,53552.60064,43663.31797,38152.91462,25642.86601,23153.49502,15129.63203,5446.941215,0,22482.62215,26395.81827,13139.93505,20339.90879,8248.084849,30328.91636,28980.58102,199.9379472,5546.910188,22299.82605,39642.57147,7765.357426,19186.21086,47448.01019,47796.41171,47644.84633,64813.91471,65896.65124,65924.01255,66775.5316,67568.45863,70181.6078,70530.00932,71178.39099,89475.46666,90723.80861,46934.00324,71282.25377,89450.53719,47993.24785,48724.43223,71833.79268,71122.01962,87692.77646,88506.71474,90344.17637,67048.15043,67548.11734,68323.8537,69158.18208,70006.55051,69626.91827,70137.05582,70164.41713,70574.5613,89681.03588,29833.67311,89536.49052,134853.5579,156404.1501,15733.16883,22957.47529,71526.79251,89208.43029,100452.9597,163000.5626,22753.88761,115683.9031,47610.465,117854.9586,125359.0504,109179.7452,134182.4031,28816.23134,28816.23134,29157.56402,29340.38453,31395.69355,26619.52758,38152.91462,144113.2541,145707.5657,159634.4502,73020.31876,146446.2134,146529.0161,89905.95211,128989.7673,108894.5239,109791.2405,47996.39847,104387.8017,10226.08696,28816.23134,37187.36215,53511.17487,27073.93084,70466.78879
s-12,92949.41093,86314.74767,80869.83434,76035.22279,66145.94011,60635.53677,48125.48816,45636.11716,37612.25418,27929.56336,22482.62215,0,3913.196128,35622.5572,42822.53093,14693.02962,52811.5385,51463.20317,22282.6842,28029.53233,441.3016589,62125.19362,14775.83234,4086.358542,24965.38804,25313.78957,25162.22418,42331.29257,43414.02909,43441.3904,44292.90945,45085.83648,47698.98565,48047.38717,48695.76884,66992.84451,68241.18646,24451.38109,48799.63162,66967.91504,25510.62571,26241.81009,49351.17053,93604.64177,65210.15432,66024.0926,67861.55423,44565.52829,45065.49519,45841.23155,46675.55993,47523.92836,47144.29612,47654.43367,47681.79498,48091.93915,67198.41373,7351.050967,67053.86837,112370.9358,133921.528,38215.79097,45440.09743,49044.17036,66725.80814,77970.33757,140517.9405,45236.50975,93201.28099,25127.84285,95372.3365,102876.4283,86697.12304,111699.781,51298.85349,51298.85349,51640.18617,51823.00667,53878.3157,49102.14972,60635.53677,121630.6319,123224.9435,137151.8281,50537.69661,123963.5912,124046.3939,67423.32997,106507.1452,86411.90172,87308.6183,25513.77633,81905.17955,32708.7091,51298.85349,59669.98429,75993.79702,49556.55298,92949.41093
s-STD3,96862.60706,90227.9438,84783.03047,79948.41891,70059.13624,64548.7329,52038.68429,49549.31329,41525.4503,31842.75949,26395.81827,3913.196128,0,39535.75333,46735.72706,18606.22575,56724.73463,55376.3993,26195.88033,31942.72846,4295.93017,66038.38975,18689.02847,7999.55467,21052.19191,21400.59344,21249.02805,38418.09644,39500.83296,39528.19428,40379.71333,41172.64035,43785.78952,44134.19105,44782.57271,63079.64838,64327.99033,20538.18496,44886.4355,63054.71891,21597.42958,22328.61396,45437.9744,97517.8379,61296.95819,62110.89647,63948.3581,40652.33216,41152.29906,41928.03542,42762.3638,43610.73223,43231.1,43741.23755,43768.59886,44178.74303,63285.21761,3437.854839,63140.67225,108457.7396,130008.3318,42128.9871,49353.29356,45130.97424,62812.61201,74057.14145,136604.7444,49149.70588,89288.08486,21214.64672,91459.14037,98963.23213,82783.92691,107786.5848,55212.04961,55212.04961,55553.3823,55736.2028,57791.51182,53015.34585,64548.7329,117717.4358,119311.7474,133238.632,46624.50049,120050.3951,120133.1978,63510.13384,102593.9491,82498.70559,83395.42218,21600.5802,77991.98342,36621.90523,55212.04961,63583.18042,79906.99315,53469.74911,96862.60706
s-7,57326.85374,50692.19047,45247.27714,40412.66559,30523.38291,25012.97957,12502.93096,10013.55997,1989.696976,7692.993838,13139.93505,35622.5572,39535.75333,0,7199.973733,21388.0199,17188.98131,15840.64597,13339.873,7593.024864,35439.7611,26502.63642,20905.29248,32326.14591,60587.94524,60936.34676,60784.78138,77953.84977,79036.58629,79063.9476,79915.46665,80708.39368,83321.54285,83669.94437,84318.32604,102615.4017,103863.7437,60073.93829,84422.18882,102590.4722,61133.1829,61864.36728,84973.72773,57982.08457,100832.7115,101646.6498,103484.1114,80188.08548,80688.05239,81463.78875,82298.11713,83146.48556,82766.85332,83276.99087,83304.35218,83714.49635,102820.9709,42973.60817,102676.4256,147993.493,169544.0852,12586.27064,19810.5771,84666.72756,102348.3653,113592.8948,176140.4977,9613.952553,128823.8382,60750.40005,130994.8937,138498.9855,122319.6802,147322.3382,25669.33315,25669.33315,26010.66583,26193.48634,28248.79536,23472.62939,25012.97957,157253.1891,158847.5007,172774.3853,86160.25381,159586.1484,159668.9511,103045.8872,142129.7024,122034.4589,122931.1755,61136.33353,117527.7367,2913.848096,25669.33315,24047.42709,40371.23982,13933.99578,57326.85374
s-5,50126.88,43492.21674,38047.30341,33212.69185,23323.40918,17813.00584,5302.957226,2813.586233,5210.276756,14892.96757,20339.90879,42822.53093,46735.72706,7199.973733,0,28587.99363,9989.007572,8640.672239,20539.84673,14792.9986,42639.73484,19302.66269,28105.26621,39526.11965,67787.91897,68136.3205,67984.75511,85153.8235,86236.56002,86263.92134,87115.44039,87908.36741,90521.51658,90869.91811,91518.29977,109815.3754,111063.7174,67273.91202,91622.16255,109790.446,68333.15664,69064.34102,92173.70146,50782.11084,108032.6852,108846.6235,110684.0852,87388.05922,87888.02612,88663.76248,89498.09086,90346.45929,89966.82706,90476.9646,90504.32592,90914.47008,110020.9447,50173.5819,109876.3993,155193.4667,176744.0589,19786.24437,27010.55083,91866.7013,109548.3391,120792.8685,183340.4714,4637.580152,136023.8119,67950.37378,138194.8674,145698.9592,129519.654,154522.3119,32869.30688,32869.30688,33210.63957,33393.46007,35448.76909,30672.60312,17813.00584,164453.1628,166047.4745,179974.359,93360.22755,166786.1222,166868.9249,110245.8609,149329.6761,129234.4327,130131.1492,68336.30726,124727.7105,10113.82183,32869.30688,16847.45336,33171.26609,6734.022051,50126.88
ak-41,78714.87364,72080.21037,66635.29704,61800.68549,51911.40282,46400.99947,33890.95086,31401.57987,23377.71688,13695.02606,8248.084849,14693.02962,18606.22575,21388.0199,28587.99363,0,38577.00121,37228.66587,8048.146902,13794.99504,14510.23353,47890.65632,482.7274233,11396.61834,39658.41767,40006.81919,39855.25381,57024.32219,58107.05872,58134.42003,58985.93908,59778.8661,62392.01528,62740.4168,63388.79846,81685.87413,82934.21608,39144.41071,63492.66125,81660.94466,40203.65533,40934.83971,64044.20015,79370.10447,79903.18394,80717.12222,82554.58385,59258.55791,59758.52481,60534.26117,61368.58955,62216.95798,61837.32575,62347.4633,62374.82461,62784.96878,81891.44336,22044.08059,81746.898,127063.9654,148614.5576,23981.25368,31205.56014,63737.19999,81418.83776,92663.3672,155210.9701,31001.97245,107894.3106,39820.87247,110065.3661,117569.4579,101390.1527,126392.8106,37064.31619,37064.31619,37405.64887,37588.46938,39643.7784,34867.61243,46400.99947,136323.6615,137917.9732,151844.8577,65230.72624,138656.6208,138739.4236,82116.35959,121200.1748,101104.9313,102001.6479,40206.80595,96598.20917,18474.17181,37064.31619,45435.44699,61759.25972,35322.01568,78714.87364
s-Vlassenbroek,40137.87243,33503.20917,28058.29583,23223.68428,13334.40161,7823.998265,4686.050347,7175.421339,15199.28433,24881.97514,30328.91636,52811.5385,56724.73463,17188.98131,9989.007572,38577.00121,0,1348.335333,30528.8543,24782.00617,52628.74241,9313.655114,38094.27378,49515.12722,77776.92655,78125.32807,77973.76269,95142.83107,96225.5676,96252.92891,97104.44796,97897.37498,100510.5242,100858.9257,101507.3073,119804.383,121052.725,77262.9196,101611.1701,119779.4535,78322.16421,79053.34859,102162.709,40793.10327,118021.6928,118835.6311,120673.0927,97377.06679,97877.03369,98652.77005,99487.09844,100335.4669,99955.83463,100465.9722,100493.3335,100903.4777,120009.9522,60162.58947,119865.4069,165182.4743,186733.0665,29775.25194,36999.5584,101855.7089,119537.3466,130781.8761,193329.479,14626.58772,146012.8195,77939.38135,148183.875,155687.9668,139508.6615,164511.3195,42858.31445,42858.31445,43199.64714,43382.46764,45437.77666,40661.61069,7823.998265,174442.1704,176036.482,189963.3666,103349.2351,176775.1297,176857.9324,120234.8685,159318.6837,139223.4402,140120.1568,78325.31483,134716.7181,20102.8294,42858.31445,6858.445788,23182.25852,3254.985522,40137.87243
s-4a,41486.20776,34851.5445,29406.63117,24572.01961,14682.73694,9172.333598,3337.715013,5827.086006,13850.949,23533.63981,28980.58102,51463.20317,55376.3993,15840.64597,8640.672239,37228.66587,1348.335333,0,29180.51897,23433.67084,51280.40708,10661.99045,36745.93845,48166.79188,76428.59121,76776.99274,76625.42735,93794.49574,94877.23226,94904.59357,95756.11262,96549.03965,99162.18882,99510.59035,100158.972,118456.0477,119704.3896,75914.58426,100262.8348,118431.1182,76973.82888,77705.01326,100814.3737,42141.4386,116673.3575,117487.2958,119324.7574,96028.73146,96528.69836,97304.43472,98138.7631,98987.13153,98607.49929,99117.63684,99144.99816,99555.14232,118661.6169,58814.25414,118517.0715,163834.1389,185384.7311,28426.91661,35651.22307,100507.3735,118189.0113,129433.5407,191981.1437,13278.25239,144664.4842,76591.04602,146835.5397,154339.6314,138160.3262,163162.9841,41509.97912,41509.97912,41851.31181,42034.13231,44089.44133,39313.27536,9172.333598,173093.8351,174688.1467,188615.0313,102000.8998,175426.7944,175509.5971,118886.5331,157970.3484,137875.1049,138771.8215,76976.9795,133368.3827,18754.49407,41509.97912,8206.781122,24530.59385,1906.650188,41486.20776
s-9a,70666.72674,64032.06347,58587.15014,53752.53859,43863.25591,38352.85257,25842.80396,23353.43297,15329.56998,5646.879162,199.9379472,22282.6842,26195.88033,13339.873,20539.84673,8048.146902,30528.8543,29180.51897,0,5746.848135,22099.8881,39842.50942,7565.419478,18986.27291,47248.07224,47596.47376,47444.90838,64613.97677,65696.71329,65724.0746,66575.59365,67368.52068,69981.66985,70330.07137,70978.45304,89275.52871,90523.87066,46734.06529,71082.31582,89250.59924,47793.3099,48524.49428,71633.85473,71321.95757,87492.83852,88306.7768,90144.23842,66848.21248,67348.17939,68123.91575,68958.24413,69806.61256,69426.98032,69937.11787,69964.47918,70374.62335,89481.09793,29633.73517,89336.55257,134653.62,156204.2122,15933.10677,23157.41323,71326.85456,89008.49234,100253.0218,162800.6247,22953.82555,115483.9652,47410.52705,117655.0207,125159.1125,108979.8072,133982.4652,29016.16929,29016.16929,29357.50197,29540.32247,31595.6315,26819.46553,38352.85257,143913.3161,145507.6277,159434.5123,72820.38081,146246.2754,146329.0781,89706.01416,128789.8294,108694.5859,109591.3025,47796.46053,104187.8637,10426.0249,29016.16929,37387.30009,53711.11282,27273.86878,70666.72674
s-8a,64919.8786,58285.21534,52840.302,48005.69045,38116.40778,32606.00443,20095.95582,17606.58483,9582.72184,99.96897362,5546.910188,28029.53233,31942.72846,7593.024864,14792.9986,13794.99504,24782.00617,23433.67084,5746.848135,0,27846.73624,34095.66128,13312.26761,24733.12105,52994.92038,53343.3219,53191.75652,70360.8249,71443.56143,71470.92274,72322.44179,73115.36881,75728.51799,76076.91951,76725.30118,95022.37684,96270.7188,52480.91343,76829.16396,94997.44737,53540.15804,54271.34242,77380.70286,65575.10944,93239.68665,94053.62493,95891.08656,72595.06062,73095.02753,73870.76388,74705.09227,75553.46069,75173.82846,75683.96601,75711.32732,76121.47149,95227.94607,35380.5833,95083.40071,140400.4681,161951.0603,10186.25864,17410.5651,77073.7027,94755.34047,105999.8699,168547.4728,17206.97742,121230.8133,53157.37518,123401.8688,130905.9606,114726.6554,139729.3133,23269.32115,23269.32115,23610.65384,23793.47434,25848.78336,21072.61739,32606.00443,149660.1642,151254.4759,165181.3604,78567.22895,151993.1236,152075.9263,95452.8623,134536.6775,114441.4341,115338.1506,53543.30866,109934.7119,4679.176768,23269.32115,31640.45196,47964.26469,21527.02065,64919.8786
s-11,92766.61484,86131.95158,80687.03824,75852.42669,65963.14402,60452.74067,47942.69206,45453.32107,37429.45808,27746.76727,22299.82605,441.3016589,4295.93017,35439.7611,42639.73484,14510.23353,52628.74241,51280.40708,22099.8881,27846.73624,0,61942.39752,14593.03624,3903.562447,25348.12208,25696.52361,25544.95823,42714.02661,43796.76313,43824.12445,44675.6435,45468.57052,48081.71969,48430.12122,49078.50288,67375.57855,68623.9205,24834.11513,49182.36567,67350.64908,25893.35975,26624.54413,49733.90457,93421.84568,65592.88836,66406.82664,68244.28827,44948.26233,45448.22923,46223.96559,47058.29397,47906.6624,47527.03017,48037.16772,48064.52903,48474.6732,67581.14778,7733.785009,67436.60242,112753.6698,134304.262,38032.99488,45257.30134,49426.90441,67108.54218,78353.07162,140900.6745,45053.71366,93584.01503,25510.57689,95755.07054,103259.1623,87079.85708,112082.515,51116.05739,51116.05739,51457.39008,51640.21058,53695.5196,48919.35363,60452.74067,122013.366,123607.6776,137534.5621,50920.43066,124346.3253,124429.128,67806.06401,106889.8792,86794.63576,87691.35235,25896.51037,82287.91359,32525.91301,51116.05739,59487.1882,75811.00093,49373.75689,92766.61484
s-4,30824.21732,24189.55405,18744.64072,13910.02917,4020.746495,1489.656849,13999.70546,16489.07645,24512.93944,34195.63026,39642.57147,62125.19362,66038.38975,26502.63642,19302.66269,47890.65632,9313.655114,10661.99045,39842.50942,34095.66128,61942.39752,0,47407.9289,58828.78233,87090.58166,87438.98318,87287.4178,104456.4862,105539.2227,105566.584,106418.1031,107211.0301,109824.1793,110172.5808,110820.9625,129118.0381,130366.3801,86576.57471,110924.8252,129093.1087,87635.81932,88367.0037,111476.3641,31479.44815,127335.3479,128149.2862,129986.7478,106690.7219,107190.6888,107966.4252,108800.7535,109649.122,109269.4897,109779.6273,109806.9886,110217.1328,129323.6074,69476.24458,129179.062,174496.1294,196046.7216,39088.90705,46313.21351,111169.364,128851.0018,140095.5312,202643.1341,23940.24284,155326.4746,87253.03647,157497.5301,165001.6219,148822.3167,173824.9746,52171.96957,52171.96957,52513.30225,52696.12275,54751.43178,49975.26581,1489.656849,183755.8255,185350.1372,199277.0217,112662.8902,186088.7848,186171.5876,129548.5236,168632.3388,148537.0953,149433.8119,87638.96994,144030.3732,29416.48451,52171.96957,2455.209325,13868.6034,12568.64064,30824.21732
