animal_project_code,station_name,latitude,longitude,habitat_type,habitat_type2,habitat_type3
esgl,C3,47.126098,-1.679072,freshwater,freshwater,freshwater
esgl,C2,47.1246,-1.67109,freshwater,freshwater,freshwater
esgl,C1,47.1237,-1.67011,freshwater,freshwater,freshwater
esgl,AM1,47.1324,-1.69796,freshwater,freshwater,freshwater
esgl,AV1,47.1336,-1.70623,freshwater,freshwater,freshwater
esgl,AV2,47.133,-1.70816,freshwater,freshwater,freshwater
esgl,AV3,47.1319,-1.7121,freshwater,freshwater,freshwater
esgl,B1,47.21,-1.82689,freshwater,freshwater,freshwater
esgl,B2,47.2074,-1.82838,freshwater,freshwater,freshwater
esgl,BB,47.214025,-1.82403,tidal_brackish,tidal_brackish,tidal
esgl,CN,47.237895,-1.870765,freshwater,freshwater,freshwater
esgl,CA,47.267842,-1.94744,freshwater,freshwater,freshwater
esgl,ECA,47.26858029,-1.94856907,tidal_brackish,tidal_brackish,tidal
esgl,C,47.293933,-2.016633,tidal_brackish,tidal_brackish,tidal
esgl,A,47.288033,-1.9939,tidal_brackish,tidal_brackish,tidal
esgl,C13,47.1237,-1.69873,freshwater,freshwater,freshwater
esgl,BOX0,47.0924,-1.65511,freshwater,freshwater,freshwater
esgl,C15,47.1306,-1.69511,freshwater,freshwater,freshwater
esgl,C12,47.1307,-1.69285,freshwater,freshwater,freshwater
esgl,C11,47.1278,-1.69436,freshwater,freshwater,freshwater
esgl,C10,47.126,-1.69522,freshwater,freshwater,freshwater
esgl,Ebis,47.29574,-2.0458,tidal_brackish,tidal_brackish,tidal
esgl,I,47.18043,-2.3844,tidal_brackish,tidal_brackish,tidal
esgl,D,47.1768,-2.1668,tidal_brackish,tidal_brackish,tidal
esgl,C14,47.1247,-1.69815,freshwater,freshwater,freshwater
esgl,EBB1,47.2151,-1.82219,tidal_brackish,tidal_brackish,tidal
esgl,EBB2,47.215933,-1.821258,tidal_brackish,tidal_brackish,tidal
esgl,C6,47.1301,-1.682038,freshwater,freshwater,freshwater
esgl,C5,47.1301,-1.68204,freshwater,freshwater,freshwater
esgl,C4,47.12882688,-1.68036023,freshwater,freshwater,freshwater
esgl,MA,47.2078,-1.78561,freshwater,freshwater,freshwater
esgl,EMA,47.2084,-1.78287,tidal_brackish,tidal_brackish,tidal
esgl,rel_esgl,47.0924,-1.65511,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-1,53.165585,5.552393,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-2,53.165045,5.552381,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-5,53.178774,5.539683,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-6,53.179885,5.425022,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-4,53.158767,5.508119,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-3,53.158511,5.508834,freshwater,freshwater,freshwater
dak_superpolder,Suderpolder-7,53.175467,5.409132,marine_barrier,freshwater,freshwater
